"EIN","SEC_NAME","FRCD","SUBSECCD","TAXPER","ASSETS","INCOME","NAME","ADDRESS","CITY","STATE","NTEEFINAL","NAICS","ZIP5","RULEDATE","FIPS","FNDNCD","PMSA","MSA_NECH","CASSETS","CFINSRC","CTAXPER","CTOTREV","ACCPER","RANDNUM","NTEECC","NTEE1","LEVEL4","LEVEL1","NTMAJ10","MAJGRPB","LEVEL3","LEVEL2","NTMAJ12","NTMAJ5","FILER","ZFILER","OUTREAS","OUTNCCS"
471951916,"",20,3,201912,1,0,"NEW LIFE COMMUNITY DEVELOPMENT CORPORATION","2018 W KELLOGG AVE","WEST PEORIA","IL","S20",813410,61604,201709,17143,15,NA,NA,NA,"",NA,NA,12,0.7773303232,"S20","S","S","PC","PU","S","PB","O","PU","OT","N","N","","IN"
814827448,"",20,3,202112,0,0,"EXPLODED DRAWING","6709 TULANE DR","AUSTIN","TX","A68",NA,78723,201702,NA,NA,NA,NA,NA,"",NA,NA,12,0.8201710621,"A68","A","A","PC","AR","A","AR","O","AR","AR","Y","Y","","IN"
272467770,"",10,3,202012,20768,927271,"SUSTAINABLE PROSPERITY INC","PO BOX 1758","PITTSBORO","NC","S20",813410,27312,201102,37037,15,NA,NA,1803,"19eoextract990.xlsx",201812,9213,12,0.6685929416,"S20","S","S","PC","PU","S","PB","O","PU","OT","Y","N","","IN"
310627166,"",10,6,202112,194756,224622,"WESTERN OHIO HOME BUILDERS ASSOCIATION","1200 ARCHER DR","TROY","OH","L0350",813920,45373,199811,39109,0,NA,NA,72299,"19eoextract990.xlsx",201812,95626,12,0.6018645015,"L035","L","L","O","HU","L","HS","O","HU","HU","Y","N","","IN"
852453047,"",20,4,202112,0,0,"NORTH AMERICA REGION OF THE PEOPLES NATIONAL CONGRESS REFORM INCORPORA","442 E 53RD ST","BROOKLYN","NY","",NA,11203,202112,NA,NA,NA,NA,NA,"",NA,NA,12,0.9667531105,"","","","O","UN","","-","O","UN","OT","Y","Y","","IN"
680629192,"",10,3,202012,25026,992071,"CREATIVE CHILD AND FAMILY SERVICES INC","1655 EAST 6TH STREET A-4 102","CORONA","CA","P40",624100,92879,201809,6037,15,NA,NA,NA,"",NA,NA,12,0.4197789789,"P40","P","P","PC","HU","P","HS","O","HU","HU","Y","N","","IN"
850132671,"",10,6,202012,4108964,1171350,"CREDIT UNION ASSOCIATION OF NEW MEXICO INC","4200 WOLCOTT AVE NE","ALBUQUERQUE","NM","W61",522130,87109,197407,35001,0,NA,NA,3989327,"19eoextract990.xlsx",201812,1804237,12,0.9987808163,"W61","W","W","O","PU","W","PB","O","PU","OT","Y","N","","IN"
710763172,"",20,3,202112,0,0,"MAGNOLIA MURALS INC","PO BOX 885","MAGNOLIA","AR","A51",712110,71754,201409,5027,16,NA,NA,NA,"",NA,NA,12,0.7857237657,"A51","A","A","PC","AR","A","AR","O","AR","AR","Y","Y","","IN"
452942379,"",20,3,202112,0,0,"LORRAINE CLINE MEMORIAL FUND","PO BOX 369","TONTO BASIN","AZ","E12",NA,85553,201703,NA,NA,NA,NA,8871,"19eoextractez.xlsx",201812,78490,12,0.3955566481,"E12","E","E","PC","HE","E","ZB","S","HE","HE","Y","Y","","IN"
237113317,"",10,3,202106,97483201,14259065,"TULANE MURPHY FOUNDATION INC","1030 AUDUBON ST","NEW ORLEANS","LA","B11",813219,70118,197106,22071,17,NA,NA,80908022,"19eoextract990.xlsx",201806,3926377,6,0.6660468919,"B11","B","B","PC","ED","B","ZA","S","ED","ED","Y","N","","IN"
431311350,"",20,3,202107,0,0,"MISSOURI STATE TROOPERS ASSOCITION SCHOLARSHIP CHARITABLE TRUST","1729 E ELM ST","JEFFERSON CTY","MO","L22",623312,65101,198409,29051,15,NA,NA,NA,"",NA,NA,7,0.2582348092,"L22","L","L","PC","HU","L","HS","O","HU","HU","Y","Y","","IN"
844348603,"",20,3,202103,0,0,"PATHWAYS CORP","1C SOUTH RD","MENDHAM","NJ","E02",NA,7945,202004,NA,NA,NA,NA,NA,"",NA,NA,3,0.2149514819,"E02","E","E","PC","HE","E","HE","O","HE","HE","Y","Y","","IN"
872492100,"",20,3,202112,0,0,"GOLDEN LIFE ADULT DAY CARE CENTER INC","7305 SHARPLESS RD","MELROSE PARK","PA","P20",NA,19027,202112,NA,NA,NA,NA,NA,"",NA,NA,12,0.6626277082,"P20","P","P","PC","HU","P","HS","O","HU","HU","Y","Y","","IN"
311840668,"",10,3,202104,8449952,15901965,"PRIMARY CARE OF SOUTHWEST GEORGIA","360 COLLEGE ST","BLAKELY","GA","E31",621491,39823,200512,13099,12,NA,NA,4953282,"19eoextract990.xlsx",201904,11196038,4,0.6643054667,"E31","E","E","PC","HE","E","HE","O","HE","HE","Y","N","","IN"
521362170,"HAMPTON GARDEN CLUB",20,3,202112,0,0,"FEDERATED GARDEN CLUBS OF MARYLAND INC","9504 HICKORY FALLS WAY","NOTTINGHAM","MD","C42",813410,21236,198503,24005,16,NA,NA,NA,"",NA,NA,12,0.8097375625,"C42","C","C","PC","EN","C","EN","O","EN","OT","Y","Y","","IN"
363316251,"",10,6,202012,1554160,1211491,"LINCOLN PARK CHAMBER OF COMMERCE","2468 N LINCOLN AVE","CHICAGO","IL","S41",813910,60614,198810,17031,0,NA,NA,1513774,"19eoextract990.xlsx",201812,1237084,12,0.1553118973,"S41","S","S","O","PU","S","PB","O","PU","OT","Y","N","","IN"
465498921,"",10,3,202012,130641,324628,"CIVIC SOFTWARE FOUNDATION","329 NE COUCH ST","PORTLAND","OR","B90",NA,97232,201709,NA,NA,NA,NA,2228,"19eoextract990.xlsx",201812,107831,12,0.4510089961,"B90","B","B","PC","ED","B","ED","O","ED","ED","Y","N","","IN"
411112618,"",60,3,NA,NA,NA,"MESSIAH LUTHERAN CHURCH","807 HWY 97 SE","FOREST LAKE","MN","X21",813110,55025,194107,27163,10,NA,NA,NA,"",NA,NA,NA,0.9645056796,"X21","X","X","PC","RE","X","RE","O","RE","OT","N","N","","IN"
363148657,"",1,3,202106,10383697,3200730,"LYNNE COOPER HARVEY FOUNDATION INC","1035 PARK AVE","RIVER FOREST","IL","T20",813211,60305,198201,17031,4,NA,NA,NA,"",NA,NA,6,0.6203302998,"T20","T","T","PF","PU","T","ZC","S","PU","OT","Y","N","","IN"
262475150,"",20,3,201912,0,0,"INSIGHTFUL STEPS INC","1430 E RESTHAVEN RD","PEORIA","IL","P50",624190,61615,200810,17143,15,NA,NA,NA,"",NA,NA,12,0.5061085601,"P50","P","P","PC","HU","P","HS","O","HU","HU","N","N","","IN"
231719339,"",20,3,202112,0,0,"319 MAIN LINE CENTER INC","562 W LANCASTER AVE","HAVERFORD","PA","B90",611710,19041,197403,42091,16,NA,NA,343957,"core2017pc",201612,35073,12,0.6781336096,"B90","B","B","PC","ED","B","ED","O","ED","ED","Y","Y","","IN"
30189406,"",10,3,202106,415107,150368,"ROYALTON MEMORIAL LIBARY ASSOC","PO BOX 179","S ROYALTON","VT","B70",514120,5068,199707,50027,15,NA,NA,670502,"19eoextract990.xlsx",201806,145990,6,0.6875703335,"B70","B","B","PC","ED","B","ED","O","ED","ED","Y","N","","IN"
411739244,"",10,3,202012,826708,3286455,"MINNESOTA FISHING MUSEUM","304 W BROADWAY","LITTLE FALLS","MN","A54",712110,56345,199306,27097,15,NA,NA,798081,"19eoextract990.xlsx",201812,234307,12,0.0540720352,"A54","A","A","PC","AR","A","AR","O","AR","AR","Y","N","","IN"
800611543,"",20,3,202112,0,0,"NEW BEGINNINGS DIFFERENCE INC","303 RAYFORD RD STE 189","SPRING","TX","B28",611699,77386,201304,48339,15,NA,NA,NA,"",NA,NA,12,0.9618908732,"B28","B","B","PC","ED","B","ED","O","ED","ED","Y","Y","","IN"
